Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
2328,2017-03-23,69.54080963134766,69.70291133402583,69.01848626566819,69.52280050252519,5875356
2329,2017-03-24,69.79297637939453,70.29728580001415,69.61286552304327,69.82899464200905,6164329
2330,2017-03-27,70.18920135498047,70.63947839963252,69.75693832360568,69.88301687327198,7104197
2331,2017-03-28,70.85562896728516,70.96369841482506,70.1171763952848,70.1171763952848,6020578
2332,2017-03-29,70.90965270996094,71.12578669319643,70.5134127741516,71.07175441884235,6451066
2333,2017-03-30,70.40535736083984,71.23387031393756,69.97309419410293,71.07176857277362,13016042
2334,2017-03-31,71.0717544555664,72.008331792858,70.4773896657261,70.4773896657261,8522874
2335,2017-04-03,70.67549896240234,71.82821010899264,70.60345756937699,71.82821010899264,9945512
2336,2017-04-05,70.24324798583984,71.28788989320641,69.95506770689161,70.90965419317796,7061975
2337,2017-04-06,71.03572845458984,71.3058947014565,69.55881866122168,70.74755307892634,7466431
2338,2017-04-07,70.24324798583984,70.69352509124089,70.06313714367943,70.621478800049,9205565
2339,2017-04-10,70.35131072998047,70.47738929341855,70.00909818433698,70.26125531121315,5763232
2340,2017-04-11,71.7381591796875,72.62069927859173,70.06312950732512,70.36931399697059,10668096
2341,2017-04-12,71.17982482910156,72.58469339291142,70.60347400743755,72.04436083323672,6620702
2342,2017-04-13,72.04436492919922,72.42259578814736,70.89165344869656,71.25187517562615,5910355
2343,2017-04-17,72.87286376953125,73.17905317602528,71.68413417469473,72.02634184068985,11138596
2344,2017-04-18,72.89088439941406,73.59331874361773,72.63873211402763,72.94492156882974,7675098
2345,2017-04-19,76.0788345336914,76.90734731944609,72.74678403285034,73.07098256387644,29099215
2346,2017-04-20,75.25033569335938,76.51111171033091,74.00756880801667,76.36702399984098,11822555
2347,2017-04-21,74.06157684326172,75.80865258629072,73.41317991541213,75.43042185934816,7938078
2348,2017-04-24,73.79142761230469,74.54789412597395,73.52126134926704,74.38579729964293,7520828
2349,2017-04-25,75.14226531982422,75.61055156415034,73.77341996149819,74.2056879453526,6293621
2350,2017-04-26,74.09761810302734,75.10624176458933,73.57529958501823,75.10624176458933,5977354
2351,2017-04-27,74.8360824584961,75.70061361609275,73.89950500200811,74.20569444356647,13646716
2352,2017-04-28,74.92613983154297,75.17829211255959,74.18768234913303,74.56591809938786,5477289
2353,2017-05-02,74.20567321777344,75.23230581130763,73.66534078810474,75.23230581130763,5123042
2354,2017-05-03,76.02479553222656,77.0154050529279,74.31374272374242,74.52987668724101,10859280
2355,2017-05-04,75.88072204589844,76.63718861673694,75.28635719946094,76.00680062200813,12952295
2356,2017-05-05,75.2863540649414,76.3670191537691,74.76403065101357,76.3670191537691,4993008
2357,2017-05-08,75.64657592773438,75.8266867762688,74.45784139591552,75.32237737753631,6855459
2358,2017-05-09,75.05220031738281,76.18689752289424,74.83606635304284,75.66457418289086,4729357
2359,2017-05-10,75.82666778564453,75.98876457723705,75.28633537536635,75.5384875686719,4623710
2360,2017-05-11,74.99816131591797,76.18689564761877,74.27771804306364,76.00678482940519,4946190
2361,2017-05-12,74.29574584960938,75.50248953283976,74.06159783380652,74.92613383039037,5386419
2362,2017-05-15,74.45783996582031,75.28635278465727,74.33176628292325,75.25032963847838,5353854
2363,2017-05-16,74.70999145507812,74.90811141535482,74.29573751988748,74.47584835134593,4077710
2364,2017-05-17,75.21430969238281,75.53850825014749,74.25972315003477,74.7820465773031,3694898
2365,2017-05-18,75.01619720458984,75.43045123011734,74.60194317906236,74.92614176922213,5797418
2366,2017-05-19,74.11564636230469,76.27697691352773,73.52127655206212,75.53851937703435,17793954
2367,2017-05-22,72.94491577148438,74.81806573079096,71.75618119775517,74.56591346544451,7423973
2368,2017-05-23,72.54866027832031,73.30512673510495,71.08975963613163,73.10700189228433,6465473
2369,2017-05-24,72.00833129882812,73.44921799683144,71.5040219316908,72.90888548508019,6650433
2370,2017-05-25,71.66612243652344,72.38656582254744,70.4773928039116,72.29651039929443,9992276
2371,2017-05-26,72.83683776855469,73.44921655753369,71.43197424269475,72.04435303167375,6466364
2372,2017-05-29,75.32237243652344,75.91673722053388,73.16103751007064,73.17905152523407,14504778
2373,2017-05-30,73.52125549316406,75.25032237037323,72.78280305400797,75.25032237037323,10884114
2374,2017-05-31,74.90811157226562,75.39441179538589,73.82744658125122,73.82744658125122,7781359
2375,2017-06-01,74.80005645751953,75.53850900681499,74.33177019003747,74.76403330944716,6369921
2376,2017-06-02,74.24170684814453,75.05221054633866,73.95353144696129,74.96215512274146,6713770
2377,2017-06-05,73.95352172851562,74.69197903646142,73.55727693959578,74.47584507106707,5093948
2378,2017-06-06,73.28712463378906,74.07961436225509,72.87287063810807,74.04359121353941,5324457
2379,2017-06-07,73.86346435546875,74.09760744267098,72.83683171146969,73.44921044952349,7605903
2380,2017-06-08,74.69198608398438,74.81805976369282,73.34114989426695,73.84546415637766,7487370
2381,2017-06-09,74.6379623413086,75.10625354233916,74.38581005074148,74.71000864479642,6432439
2382,2017-06-12,74.2777328491211,74.89011170744247,73.84546973073506,74.34977914509523,3684911
2383,2017-06-13,75.73663330078125,76.78127527199669,74.20569104884599,74.36778788520621,15775215
2384,2017-06-14,75.82666778564453,76.72722180277484,75.46644617879241,76.00677858907059,13639132
2385,2017-06-15,75.77265930175781,76.45707959240701,75.41243758185615,75.64658072262827,5595511
2386,2017-06-16,75.6285629272461,76.18690949669428,74.78204583641931,75.64657694383318,6127735
2387,2017-06-19,76.51107788085938,76.70919778445659,75.6285331048697,75.64654711435337,6393073
2388,2017-06-20,75.03418731689453,77.4476743272818,74.06158690713994,76.45706478934683,12876594
2389,2017-06-21,74.09761810302734,74.92613091993391,73.75541042967365,74.92613091993391,13855413
2390,2017-06-22,72.87286376953125,75.17828155438285,72.04435585625964,74.15164878475899,33713902
2391,2017-06-23,74.20567321777344,74.56589483755256,72.9088744094049,73.12500835843606,9034020
2392,2017-06-27,74.11564636230469,74.45785410142283,72.5847038885217,74.20570180193899,6947747
2393,2017-06-28,74.78204345703125,75.26833883047786,73.2691104028303,74.20568777515378,7103873
2394,2017-06-29,74.92613983154297,75.82669416193075,74.52989494900835,74.92613983154297,7577681
2395,2017-06-30,75.84469604492188,76.02480689378432,74.85408637617847,74.89010952311486,7751039
2396,2017-07-03,76.16887664794922,76.60114453769107,75.46644743439161,75.64655824081433,8768284
2397,2017-07-04,75.89871215820312,76.72722481801297,75.55650454973643,76.72722481801297,4530105
2398,2017-07-05,75.66456604003906,76.16887531201387,75.46644611077626,76.16887531201387,6062229
2399,2017-07-06,75.59253692626953,76.00679086388631,75.28634753383314,76.00679086388631,5577232
2400,2017-07-07,75.44845581054688,75.79066839862422,74.99817866087655,75.53851124048093,7641379
2401,2017-07-10,76.13287353515625,76.36701665290398,75.64657328394524,75.64657328394524,2844699
2402,2017-07-11,76.3489990234375,76.85331326649384,75.9707682269643,76.54712387201508,13833624
2403,2017-07-12,77.08746337890625,77.44768507907273,76.34900596207325,76.34900596207325,9211263
2404,2017-07-13,77.48369598388672,78.16811612890126,77.24955289293683,78.15010700106617,9596900
2405,2017-07-14,77.51972198486328,77.897952769902,77.26756487095821,77.897952769902,4889330
2406,2017-07-17,78.06007385253906,78.33024016202775,77.53775036653289,77.53775036653289,6302565
2407,2017-07-18,77.59176635742188,79.24878701815126,77.35762324886448,78.15011287794087,7549621
2408,2017-07-19,78.76248168945312,79.06867106659328,77.8259044300086,78.3122046306643,8521832
2409,2017-07-20,78.78050994873047,79.2487962202209,78.40227421946236,78.88857450805297,10233967
2410,2017-07-21,77.55577850341797,79.05070302422094,76.90738115609285,79.05070302422094,4948380
2411,2017-07-24,78.07807159423828,78.2581824409533,76.81729566723315,76.81729566723315,6137724
2412,2017-07-25,78.1681137084961,78.74446929701628,77.91595661170021,78.34822452454499,6113154
2413,2017-07-26,78.27618408203125,78.51033206901363,77.6457961788426,78.47430892595334,5258903
2414,2017-07-27,78.04206085205078,78.92460609555744,77.7178622535982,78.42029662176229,21380991
2415,2017-07-28,77.32158660888672,78.09606208777699,76.38500945230905,77.84390989404108,8260545
2416,2017-07-31,80.43751525878906,80.76171866544183,77.32159883853181,77.32159883853181,17403810
2417,2017-08-01,80.83377075195312,81.26603876075072,79.48293933173524,80.61763674755433,15263765
2418,2017-08-02,79.8971939086914,81.41012706474565,79.50095393118073,80.9238267727411,12014487
2419,2017-08-03,80.31146240234375,80.88781330619067,78.97863994410213,79.60902802027744,5285543
2420,2017-08-04,80.90583801269531,81.1039580513355,79.82517259650324,80.83379169728748,7975937
2421,2017-08-07,81.39212799072266,81.50019256415703,80.32947184673009,81.04991536514666,4619568
2422,2017-08-08,80.2934341430664,81.62625636493445,79.77111561835984,81.59023321837758,3229672
2423,2017-08-09,79.93321228027344,81.12194679922217,79.53696744062387,80.18536941981937,4573769
2424,2017-08-10,78.31221008300781,79.89718446313167,77.57375760950826,79.89718446313167,6813656
2425,2017-08-11,78.85253143310547,79.42888700408913,76.36700322442051,76.54711403498925,8860877
2426,2017-08-14,80.2394027709961,80.67167076291429,78.8885714035261,78.97862682802409,4990789
2427,2017-08-16,79.50093841552734,80.92381097939543,79.12270275742159,80.58160334871164,5221989
2428,2017-08-17,79.05064392089844,79.82511930832864,78.79848687112224,79.42887460974505,2837686
2429,2017-08-18,80.31146240234375,80.61764698782983,78.78051993163228,78.88858450464852,7721084
2430,2017-08-21,79.35684967041016,81.0318843061593,79.08668342410468,80.6896717731781,5203218
2431,2017-08-22,79.06868743896484,80.09532032274706,78.5463639882873,79.95123261126284,6646897
2432,2017-08-23,79.15874481201172,79.53697567466746,78.40227820088033,79.1047125296066,5312780
2433,2017-08-24,79.59101867675781,80.04129587283808,78.90659343005959,79.06869517497658,5492256
2434,2017-08-28,78.20413970947266,79.5729800071872,78.04203801477175,79.5729800071872,9753985
2435,2017-08-29,77.55577850341797,78.72649946473706,77.01544575203992,78.27622217192202,12235532
2436,2017-08-30,77.663818359375,78.33022947569486,77.17751809147568,78.11409548042633,9313551
2437,2017-08-31,78.97862243652344,79.2487886949952,77.46568943475386,77.89795740263637,8143692
2438,2017-09-01,77.98802947998047,78.78051929509719,77.73587229721963,78.78051929509719,8803556
2439,2017-09-04,78.3842544555664,78.97861922285554,76.65518754021193,78.02403279226161,6239751
2440,2017-09-05,77.87995147705078,78.38426086978154,77.77188203772457,78.34823772333948,3937595
2441,2017-09-06,77.19551849365234,77.82590639184755,76.7272322950349,77.44767560725799,4800221
2442,2017-09-07,77.77188873291016,77.86194416385827,76.92536670483388,77.62780102055713,5008597
2443,2017-09-08,76.76326751708984,78.04205264318476,76.51111036380536,77.87995580391875,8588797
2444,2017-09-11,78.90420532226562,79.05059428213731,77.09262767277893,77.22071987411117,6205180
2445,2017-09-12,78.79442596435547,79.16040092066984,78.42845100804111,78.9042214295616,4307268
2446,2017-09-13,78.22716522216797,79.08720734528652,77.95268401035479,78.79442440770737,3679773
2447,2017-09-14,78.30035400390625,79.05060058547937,77.82458364157124,78.06246634081253,6793237
2448,2017-09-15,77.76969146728516,78.11736963179693,76.15940278903334,77.84288347402006,9054445
2449,2017-09-18,78.81272888183594,79.54467880552903,77.76969924780268,77.76969924780268,10470233
2450,2017-09-19,78.99569702148438,79.19698121567639,77.87947068283697,79.19698121567639,5530915
2451,2017-09-20,77.91609191894531,79.12381232837896,77.76970292006487,79.01401685632862,5687495
2452,2017-09-21,77.42201232910156,77.9160794647223,76.98284540265735,77.9160794647223,5113744
2453,2017-09-22,76.69007110595703,77.3488290154307,76.1594103897219,76.87305858683531,5195124
2454,2017-09-25,76.9096450805664,78.26375421341322,75.99470781887324,76.48877493295802,13057600
2455,2017-09-26,77.12923431396484,78.13566534485939,76.90964836899916,78.13566534485939,6570371
2456,2017-09-27,76.17770385742188,77.97098009969538,75.68363668764935,77.58670839201281,7885119
2457,2017-09-28,76.48878479003906,77.18413620576509,75.02488498267778,75.3908599345181,11633088
2458,2017-09-29,77.22073364257812,77.82459131212426,75.42745243188863,77.22073364257812,13782560
2459,2017-10-03,75.44575500488281,77.67820319856378,75.20787227952361,77.6416047106963,12296210
2460,2017-10-04,76.507080078125,77.09264098255885,75.04318029896682,75.04318029896682,12075908
2461,2017-10-05,75.00658416748047,76.63517470848493,74.71380618799458,76.48878571874198,17352392
2462,2017-10-06,74.93338012695312,75.33594854316657,74.4942082643629,75.02487385133841,13466622
2463,2017-10-09,73.54267883300781,74.96998006282024,73.06691341102123,74.96998006282024,21446056
2464,2017-10-10,74.93338012695312,75.39084874887952,73.56097426117393,73.57927102051009,14560236
2465,2017-10-11,74.23802947998047,75.42744798718219,73.70736881661743,75.17126851778877,11830976
2466,2017-10-12,74.03675079345703,74.73210221074483,73.74397281686836,74.31123200795376,5518551
2467,2017-10-13,75.26276397705078,75.79342961644986,73.26819860287105,74.0733454425415,11394674
2468,2017-10-16,75.29936981201172,76.34239946760766,75.07978383759364,75.64704305464156,11521216
2469,2017-10-17,74.98828125,75.72023110248765,74.64060308452731,75.11637346695586,4936452
2470,2017-10-18,78.15396881103516,78.41015326278479,75.39085991104231,75.4640519230758,18484486
2471,2017-10-19,77.0926513671875,77.95269359606397,76.69007788092047,77.89779833972155,559370
2472,2017-10-23,78.15396881103516,78.39185650073966,77.22073466967412,77.93438284722875,14162373
2473,2017-10-24,78.70291900634766,79.0139986597366,77.36711163293279,78.0624629403684,7050716
2474,2017-10-25,79.08719635009766,80.14852256211925,78.24545110591674,79.0505978675068,16306452
2475,2017-10-26,77.58671569824219,78.95912187470732,77.12924697275382,78.4650546584092,23524154
2476,2017-10-27,77.4952163696289,78.1539693013278,77.00114918892824,77.71480233481287,9985329
2477,2017-10-30,77.73309326171875,78.50164160024288,77.53180903765767,77.5684025592305,4118717
2478,2017-10-31,77.53180694580078,80.11192812281925,77.11093182054242,77.84288165389262,16442260
2479,2017-11-01,76.98284149169922,78.09906295737169,76.3606821726951,77.89777874679216,12417385
2480,2017-11-02,78.7578353881836,79.16040388411753,77.51351651905,77.58671349859429,16259892
2481,2017-11-03,76.87306213378906,80.6975026461475,76.70837637171181,80.6975026461475,26293141
2482,2017-11-06,77.1109390258789,78.0624748909173,76.671772063144,77.1292407517343,7985183
2483,2017-11-07,75.99471282958984,77.65989677012449,75.57384265423136,77.4403157839219,9702210
2484,2017-11-08,76.17770385742188,76.83645677454997,75.81172891149451,76.12280860830336,12777065
2485,2017-11-09,76.12279510498047,76.78154790525328,75.02487046195779,76.78154790525328,9492091
2486,2017-11-10,77.34880828857422,77.58669095720087,75.57382920691849,75.75681663876234,8999608
2487,2017-11-13,77.22073364257812,78.08077576046644,76.59857424737733,77.5501101019803,7885278
2488,2017-11-14,75.738525390625,77.23902353200849,75.42744572070303,77.22072677183468,4927717
2489,2017-11-15,75.75682067871094,75.95810487893253,74.80528498960919,75.6470252354384,8653007
2490,2017-11-16,76.23259735107422,76.43388654501076,75.07977729072047,75.79343040438614,18027175
2491,2017-11-17,76.34239196777344,76.83645415686121,76.03131228156256,76.59857144288326,9193722
2492,2017-11-20,76.41559600830078,76.96455849492742,75.26277577915553,76.96455849492742,8277194
2493,2017-11-21,75.61044311523438,76.4704802493195,75.31766018622743,76.4704802493195,15596732
2494,2017-11-22,75.77513122558594,76.17770466313453,75.06147808793828,76.17770466313453,8665005
2495,2017-11-23,76.507080078125,76.78156128671716,75.59214271615113,76.0862098843876,6824919
2496,2017-11-24,77.29391479492188,77.5318024480424,76.12279810781162,76.30578555553373,7734712
2497,2017-11-27,76.9096450805664,77.53180440405869,76.12280002828075,77.51350268051343,14811199
2498,2017-11-28,76.25088500976562,76.85474255247219,75.46403506821419,76.85474255247219,21546865
2499,2017-11-29,76.39729309082031,76.76326805242705,75.95812115135098,76.34239783934991,7324543
2500,2017-11-30,75.40914916992188,76.30578969797745,75.0797727389115,76.30578969797745,19256592
2501,2017-12-01,74.2746353149414,75.88492911665459,74.00015409381118,75.75683688735653,8172074
2502,2017-12-04,74.20143127441406,74.64059817873057,73.52437671259226,74.47591245105649,7124561
2503,2017-12-05,73.30480194091797,74.09164710767182,72.04218635055841,73.9269613549204,17485101
2504,2017-12-06,73.2864990234375,73.50608000866409,72.70093814717713,73.08520983517629,5557173
2505,2017-12-07,74.03675079345703,74.29293524586184,72.99372118559883,73.28650412604048,11119755
2506,2017-12-08,74.32953643798828,74.58572091682146,73.15841944696655,74.2929429100294,14615599
2507,2017-12-11,74.76869201660156,75.17126541055366,74.1465326837799,74.585704561519,8231500
2508,2017-12-12,74.25634002685547,74.84190096966427,73.89036505808163,74.84190096966427,8310332
2509,2017-12-13,73.37799072265625,74.09163883257982,73.1401030554959,73.56097818117806,12105970
2510,2017-12-14,73.23160552978516,73.78056797090551,72.64604956367258,73.67077746822267,12838407
2511,2017-12-15,72.77413177490234,73.98185203980636,72.28006958328766,73.7073708383081,22654959
2512,2017-12-18,73.1584243774414,73.2316164021454,70.77958677941149,72.81074612757241,16832008
2513,2017-12-19,74.14653778076172,74.2929317259731,72.90222399343418,73.45118639641863,20133065
2514,2017-12-20,74.2746353149414,74.42102430677357,73.17671043042048,74.32953056639684,14097971
2515,2017-12-21,74.32953643798828,74.95169590723829,73.96356144757146,74.95169590723829,7881749
2516,2017-12-22,74.31123352050781,74.5125177630279,73.8720615828328,74.29293675804347,7399925
2517,2017-12-26,74.09164428710938,74.65890842859973,73.63417560712661,74.25633499744431,7946762
2518,2017-12-27,73.63418579101562,74.84190625151422,73.48779678594556,74.1099562623103,7831439
2519,2017-12-28,72.88392639160156,73.9452526990268,72.64604367915581,73.72566674759507,15796200
2520,2017-12-29,73.32311248779297,73.81717976663649,72.99373595651528,73.03033445195813,8561565
2521,2018-01-01,73.26818084716797,73.83544483523718,72.84731076818211,72.84731076818211,6388017
2522,2018-01-02,73.4695053100586,73.85377709650894,72.93883954414726,73.65249282053094,4383705
2523,2018-01-03,73.79888153076172,74.09165956076438,73.41460478204759,73.74398627061795,8187397
2524,2018-01-04,73.32311248779297,74.23805005459431,73.19502519952397,73.92697525296505,4204055
2525,2018-01-05,73.65247344970703,73.94525140391971,73.41458577757504,73.67077021040059,4923559
2526,2018-01-08,73.39628601074219,74.3844202524804,73.21329855589084,73.92695161535204,11797863
2527,2018-01-09,73.56098937988281,73.70737837621559,73.30480491341052,73.59758290607607,7380366
2528,2018-01-10,73.14010620117188,73.8903577916903,72.64604401299592,73.8903577916903,8710385
2529,2018-01-11,72.40815734863281,73.3047979320387,72.20687311832673,72.8656260210128,12305664
2530,2018-01-12,71.85918426513672,72.57283727355801,71.62130158361364,72.49964031131151,9411915
2531,2018-01-15,72.9388198852539,73.28649804698468,71.42002495045871,72.38985750179643,9962401
2532,2018-01-16,71.8042984008789,72.93882168072243,71.12724378517773,72.86562470891857,13205546
2533,2018-01-17,72.24347686767578,72.71924233606838,70.99916298092708,71.7311129100561,13012437
2534,2018-01-18,72.09708404541016,73.12181190622431,71.63961536400153,72.68263998653089,24603506
2535,2018-01-19,71.76769256591797,72.46304883529152,71.10893974255082,72.09707394145373,8082214
2536,2018-01-22,71.47493743896484,72.0787952136749,71.36514692132802,71.78601719074086,9833311
2537,2018-01-23,71.67620086669922,71.85918831878595,71.01744802472793,71.47491665494475,16134097
2538,2018-01-24,71.71281433105469,72.07878931168216,71.42003633209406,71.4749315864175,11061376
2539,2018-01-25,71.10894012451172,72.04217412327007,70.688069987108,71.98727888166997,13143678
2540,2018-01-29,71.05404663085938,71.73110119752224,70.99915138790884,71.18213884031219,11002896
2541,2018-01-30,71.34683227539062,71.7860041941349,69.7914387619629,70.92596208217488,22826262
2542,2018-01-31,70.92596435546875,71.4749267895678,70.26721142009109,71.34683456217408,14372442
2543,2018-02-01,71.31024932861328,71.42004481415319,69.16929444490566,71.18216204126433,17028230
2544,2018-02-02,70.59658813476562,71.1821490592905,69.901231744725,71.1821490592905,22083930
2545,2018-02-05,71.91409301757812,72.07877875643182,69.53525102800494,69.53525102800494,21997294
2546,2018-02-06,71.34683227539062,71.58471499643841,69.5352543153866,69.5352543153866,13495253
2547,2018-02-07,71.54812622070312,72.04218845725812,70.77957779382962,71.65791672574797,14316750
2548,2018-02-08,71.60371398925781,72.14111434628148,71.2886863671008,71.90021264469648,33536651
2549,2018-02-09,71.60371398925781,72.01139649870515,70.78834897036313,71.15897354637382,15183068
2550,2018-02-12,73.56798553466797,73.77182423418054,71.64076226336527,71.97431878386234,11747845
2551,2018-02-14,72.43760681152344,73.549465441151,71.78902261090735,73.549465441151,13853923
2552,2018-02-15,73.34562683105469,73.49387364322708,72.15964227997699,72.64145070309887,8833619
2553,2018-02-16,72.47466278076172,73.47533746164741,72.17816918553198,73.41974051404915,6252218
2554,2018-02-19,71.95580291748047,72.99353562053561,71.75195915401837,72.4931982353004,4332550
2555,2018-02-20,72.27082824707031,72.77116058963495,71.80755383591855,72.23376528880836,8479558
2556,2018-02-21,71.88166809082031,72.60437811624959,71.64076642462676,72.4931892517266,9258406
2557,2018-02-22,70.51038360595703,72.08552170104807,70.13976406048839,71.64077623574597,25535938
2558,2018-02-23,71.62224578857422,71.84461348977898,70.54744510745493,70.64009999190665,11567495
2559,2018-02-26,72.6970443725586,73.08619289219894,71.52959378678817,72.27083289227407,8362326
2560,2018-02-27,73.2900161743164,73.47532589888512,72.47465137547489,73.1047064497477,17333449
2561,2018-02-28,73.27149963378906,73.45680940248532,72.41907670852594,72.93794305550563,5795018
2562,2018-03-01,73.16031646728516,73.56799896759819,72.47466931132905,73.04912758891838,8106682
2563,2018-03-05,72.99352264404297,73.03058559688802,71.99285307831674,72.93793072819956,6992551
2564,2018-03-06,71.58517456054688,73.1973703691502,71.19602107469166,73.04911854967281,9525018
2565,2018-03-07,71.65929412841797,71.90020081722353,70.88099219783876,71.43692645697979,9481007
2566,2018-03-08,72.41907501220703,72.60438477656267,71.30721642607325,71.84461172659513,10429826
2567,2018-03-09,71.49252319335938,72.51172685458886,71.0848407234978,72.45613493298248,9887071
2568,2018-03-12,72.27082824707031,72.51172993549942,71.52958918922751,71.7148989536882,14242997
2569,2018-03-13,72.28933715820312,73.01204704984465,71.6222242019553,72.23374524965708,10581316
2570,2018-03-14,72.02992248535156,72.71556962830283,71.71489990307724,72.14111136160939,8577503
2571,2018-03-15,72.19670104980469,72.5487916067737,71.82608152745793,71.88167345044015,6132848
2572,2018-03-16,71.25163269042969,73.0676675844452,70.91807105477712,72.04846376336153,10373796
2573,2018-03-19,71.97432708740234,72.3078836463812,71.34427692640871,71.67783348538757,13496140
2574,2018-03-20,72.23377227783203,72.6785127394594,71.45547018642216,71.93727360989755,9661410
2575,2018-03-21,71.97432708740234,72.4561354742375,71.75195437246681,72.4561354742375,9675146
2576,2018-03-22,71.41841888427734,72.15965813485322,71.251643069008,71.97434832220925,11371840
2577,2018-03-23,71.99286651611328,72.36348606004489,70.78834797148625,70.78834797148625,9062739
2578,2018-03-26,72.23377227783203,72.4561450220705,71.99287056609434,72.04846249544157,15451169
2579,2018-03-27,72.62290954589844,72.771156343447,72.30788195932725,72.30788195932725,7563470
2580,2018-03-28,71.62224578857422,72.56732359924206,71.27015521691801,72.45613974863967,14095921
2581,2018-04-02,72.23377227783203,72.34495613652648,71.49253314827017,71.49253314827017,6821616
2582,2018-04-03,73.58651733398438,73.93860785782105,72.10403938410113,72.19669425596884,6269850
2583,2018-04-04,72.65997314453125,74.08685926560783,72.14110683509854,73.73476871982376,9689298
2584,2018-04-05,72.73410034179688,73.54946026334706,72.64144546251738,73.34562153967174,8673501
2585,2018-04-06,72.62290954589844,73.34561959586476,72.54878866054855,73.1973727983162,7948746
2586,2018-04-09,72.5858383178711,72.82674499163852,72.34493667095188,72.64143525910863,4610445
2587,2018-04-10,72.99352264404297,73.62357776186374,72.75262099082268,72.95645969119792,7562115
2588,2018-04-11,73.0120620727539,73.45680245947935,72.56731665917975,73.38268157511614,5790314
2589,2018-04-12,72.77115631103516,73.34561956319705,72.67850143425247,73.08618389746603,3537785
2590,2018-04-13,73.19737243652344,73.3826821892554,72.78968997514335,72.82675293105949,3438013
2591,2018-04-16,73.82743072509766,74.45748596463999,72.9379448192168,73.10472562581604,9628436
2592,2018-04-17,75.93994903564453,76.77384284897126,74.93927444891312,75.30989392150279,23457958
2593,2018-04-18,75.9770278930664,76.27352152246586,75.73612116397382,76.01408582660432,8814122
2594,2018-04-19,77.12594604492188,77.42243966102376,75.95849049275401,76.16233425231705,10627620
2595,2018-04-20,76.79237365722656,77.68186443429538,76.42175417573071,77.38536583298963,5446620
2596,2018-04-23,76.6441421508789,77.0518246671755,76.05114985688834,77.0518246671755,4139986
